Date,Party,Votes,Seats
January 19 1919,National Socialist German Workers Party (Nazi Party),0,0
January 19 1919,Independent Social Democratic Party of Germany,0,0
January 19 1919,Social Democratic Party of Germany,11509048,163
January 19 1919,Communist Party of Germany,0,0
January 19 1919,Centre Party,5980216,91
January 19 1919,German National People's Party,3121479,44
January 19 1919,Bavarian People's Party,0,0
January 19 1919,German People's Party,1345338,19
January 19 1919,Christian Social People's Service,664,0
January 19 1919,German State Party,0,0
January 19 1919,German Farmers' Party,0,0
January 19 1919,Agricultural League,0,0
January 19 1919,Reich Party of the German Middle Class,0,0
January 19 1919,German-Hanoverian Party,77226,1
January 19 1919,Radical Middle Class,0,0
January 19 1919,Christian-National Peasants' and Farmers' Party,0,0
January 19 1919,People's Justice Party,0,0
January 19 1919,Socialist Workers' Party of Germany,0,0
January 19 1920,National Socialist German Workers Party (Nazi Party),0,0
January 19 1920,Independent Social Democratic Party of Germany,5046813,84
January 19 1920,Social Democratic Party of Germany,6104398,102
January 19 1920,Communist Party of Germany,589545,4
January 19 1920,Centre Party,3845001,64
January 19 1920,German National People's Party,4249100,84
January 19 1920,Bavarian People's Party,1173344,20
January 19 1920,German People's Party,3919446,65
January 19 1920,Christian Social People's Service,0,0
January 19 1920,German State Party,0,0
January 19 1920,German Farmers' Party,0,0
January 19 1920,Agricultural League,0,0
January 19 1920,Reich Party of the German Middle Class,0,0
January 19 1920,German-Hanoverian Party,319108,5
January 19 1920,Radical Middle Class,0,0
January 19 1920,Christian-National Peasants' and Farmers' Party,0,0
January 19 1920,People's Justice Party,0,0
January 19 1920,Socialist Workers' Party of Germany,0,0
May 4 1924,National Socialist German Workers Party (Nazi Party),36291,0
May 4 1924,Independent Social Democratic Party of Germany,235,0
May 4 1924,Social Democratic Party of Germany,6008905,100
May 4 1924,Communist Party of Germany,3693280,62
May 4 1924,Centre Party,3914379,65
May 4 1924,German National People's Party,5696475,95
May 4 1924,Bavarian People's Party,3693280,62
May 4 1924,German People's Party,2694381,45
May 4 1924,Christian Social People's Service,0,0
May 4 1924,German State Party,0,0
May 4 1924,German Farmers' Party,0,0
May 4 1924,Agricultural League,574939,10
May 4 1924,Reich Party of the German Middle Class,0,0
May 4 1924,German-Hanoverian Party,319792,5
May 4 1924,Radical Middle Class,0,0
May 4 1924,Christian-National Peasants' and Farmers' Party,0,0
May 4 1924,People's Justice Party,0,0
May 4 1924,Socialist Workers' Party of Germany,0,0
December 7 1924,National Socialist German Workers Party (Nazi Party),0,0
December 7 1924,Independent Social Democratic Party of Germany,98842,0
December 7 1924,Social Democratic Party of Germany,7881041,131
December 7 1924,Communist Party of Germany,2709086,45
December 7 1924,Centre Party,4118849,69
December 7 1924,German National People's Party,6205802,103
December 7 1924,Bavarian People's Party,1134035,19
December 7 1924,German People's Party,3049064,51
December 7 1924,Christian Social People's Service,0,0
December 7 1924,German State Party,0,0
December 7 1924,German Farmers' Party,0,0
December 7 1924,Agricultural League,500525,8
December 7 1924,Reich Party of the German Middle Class,0,0
December 7 1924,German-Hanoverian Party,261549,4
December 7 1924,Radical Middle Class,0,0
December 7 1924,Christian-National Peasants' and Farmers' Party,0,0
December 7 1924,People's Justice Party,0,0
December 7 1924,Socialist Workers' Party of Germany,0,0
September 14 1930,National Socialist German Workers Party (Nazi Party),6379672,107
September 14 1930,Independent Social Democratic Party of Germany,11690,0
September 14 1930,Social Democratic Party of Germany,8575244,143
September 14 1930,Communist Party of Germany,4590160,77
September 14 1930,Centre Party,4127000,68
September 14 1930,German National People's Party,2457686,41
September 14 1930,Bavarian People's Party,1058637,19
September 14 1930,German People's Party,1577365,30
September 14 1930,Christian Social People's Service,868269,14
September 14 1930,German State Party,1322034,20
September 14 1930,German Farmers' Party,339434,6
September 14 1930,Agricultural League,193926,3
September 14 1930,Reich Party of the German Middle Class,1361762,23
September 14 1930,German-Hanoverian Party,144286,3
September 14 1930,Radical Middle Class,0,0
September 14 1930,Christian-National Peasants' and Farmers' Party,1108043,19
September 14 1930,People's Justice Party,0,0
September 14 1930,Socialist Workers' Party of Germany,0,0
November 6 1932,National Socialist German Workers Party (Nazi Party),11737021,196
November 6 1932,Independent Social Democratic Party of Germany,0,0
November 6 1932,Social Democratic Party of Germany,7247901,121
November 6 1932,Communist Party of Germany,5980239,100
November 6 1932,Centre Party,423545,70
November 6 1932,German National People's Party,2959053,51
November 6 1932,Bavarian People's Party,1094597,20
November 6 1932,German People's Party,660889,11
November 6 1932,Christian Social People's Service,403666,5
November 6 1932,German State Party,336778,2
November 6 1932,German Farmers' Party,149026,3
November 6 1932,Agricultural League,105220,2
November 6 1932,Reich Party of the German Middle Class,110309,1
November 6 1932,German-Hanoverian Party,63966,1
November 6 1932,Radical Middle Class,60246,0
November 6 1932,Christian-National Peasants' and Farmers' Party,46382,0
November 6 1932,People's Justice Party,46202,0
November 6 1932,Socialist Workers' Party of Germany,45201,0
March 3 1933,National Socialist German Workers Party (Nazi Party),17277180,288
March 3 1933,Independent Social Democratic Party of Germany,0,0
March 3 1933,Social Democratic Party of Germany,7181629,120
March 3 1933,Communist Party of Germany,4848058,81
March 3 1933,Centre Party,4424905,73
March 3 1933,German National People's Party,0,0
March 3 1933,Bavarian People's Party,1073552,19
March 3 1933,German People's Party,432312,2
March 3 1933,Christian Social People's Service,383999,2
March 3 1933,German State Party,334242,5
March 3 1933,German Farmers' Party,114048,2
March 3 1933,Agricultural League,83839,1
March 3 1933,Reich Party of the German Middle Class,0,0
March 3 1933,German-Hanoverian Party,47743,0
March 3 1933,Radical Middle Class,0,0
March 3 1933,Christian-National Peasants' and Farmers' Party,0,0
March 3 1933,People's Justice Party,0,0
March 3 1933,Socialist Workers' Party of Germany,0,0
