Country,Year,Incidents_total
Afghanistan,Year 2009,502
Afghanistan,Year 2010,540
Afghanistan,Year 2011,422
Afghanistan,Year 2012,1469
Afghanistan,Year 2013,1442
Afghanistan,Year 2014,1820
Algeria,Year 2009,108
Algeria,Year 2010,100
Algeria,Year 2011,15
Algeria,Year 2012,41
Algeria,Year 2013,22
Algeria,Year 2014,13
Bangladesh,Year 2009,28
Bangladesh,Year 2010,22
Bangladesh,Year 2011,14
Bangladesh,Year 2012,18
Bangladesh,Year 2013,138
Bangladesh,Year 2014,129
CAR,Year 2009,5
CAR,Year 2010,13
CAR,Year 2011,3
CAR,Year 2012,4
CAR,Year 2013,20
CAR,Year 2014,93
Colombia,Year 2009,139
Colombia,Year 2010,136
Colombia,Year 2011,94
Colombia,Year 2012,115
Colombia,Year 2013,147
Colombia,Year 2014,230
Congo,Year 2009,54
Congo,Year 2010,18
Congo,Year 2011,16
Congo,Year 2012,25
Congo,Year 2013,22
Congo,Year 2014,109
Egypt,Year 2009,2
Egypt,Year 2010,2
Egypt,Year 2011,18
Egypt,Year 2012,49
Egypt,Year 2013,316
Egypt,Year 2014,346
France,Year 2009,9
France,Year 2010,3
France,Year 2011,8
France,Year 2012,65
France,Year 2013,12
France,Year 2014,12
Greece,Year 2009,115
Greece,Year 2010,49
Greece,Year 2011,11
Greece,Year 2012,22
Greece,Year 2013,53
Greece,Year 2014,26
India,Year 2009,673
India,Year 2010,662
India,Year 2011,642
India,Year 2012,611
India,Year 2013,694
India,Year 2014,859
Iraq,Year 2009,1137
Iraq,Year 2010,1179
Iraq,Year 2011,1307
Iraq,Year 2012,1438
Iraq,Year 2013,2852
Iraq,Year 2014,3925
Israel,Year 2009,36
Israel,Year 2010,14
Israel,Year 2011,51
Israel,Year 2012,66
Israel,Year 2013,37
Israel,Year 2014,293
Libya,Year 2009,0
Libya,Year 2010,0
Libya,Year 2011,2
Libya,Year 2012,58
Libya,Year 2013,293
Libya,Year 2014,729
Nigeria,Year 2009,42
Nigeria,Year 2010,63
Nigeria,Year 2011,175
Nigeria,Year 2012,616
Nigeria,Year 2013,345
Nigeria,Year 2014,713
Pakistan,Year 2009,666
Pakistan,Year 2010,711
Pakistan,Year 2011,1011
Pakistan,Year 2012,1651
Pakistan,Year 2013,2213
Pakistan,Year 2014,2146
Philippines,Year 2009,230
Philippines,Year 2010,205
Philippines,Year 2011,149
Philippines,Year 2012,247
Philippines,Year 2013,652
Philippines,Year 2014,597
Russia,Year 2009,152
Russia,Year 2010,251
Russia,Year 2011,188
Russia,Year 2012,151
Russia,Year 2013,144
Russia,Year 2014,46
Somalia,Year 2009,122
Somalia,Year 2010,129
Somalia,Year 2011,184
Somalia,Year 2012,318
Somalia,Year 2013,334
Somalia,Year 2014,862
Sudan,Year 2009,26
Sudan,Year 2010,28
Sudan,Year 2011,38
Sudan,Year 2012,40
Sudan,Year 2013,46
Sudan,Year 2014,157
Syria,Year 2009,0
Syria,Year 2010,0
Syria,Year 2011,49
Syria,Year 2012,177
Syria,Year 2013,279
Syria,Year 2014,326
Thailand,Year 2009,298
Thailand,Year 2010,253
Thailand,Year 2011,181
Thailand,Year 2012,286
Thailand,Year 2013,477
Thailand,Year 2014,423
Ukraine,Year 2009,2
Ukraine,Year 2010,4
Ukraine,Year 2011,3
Ukraine,Year 2012,8
Ukraine,Year 2013,5
Ukraine,Year 2014,889
United Kingdom,Year 2009,22
United Kingdom,Year 2010,57
United Kingdom,Year 2011,47
United Kingdom,Year 2012,51
United Kingdom,Year 2013,137
United Kingdom,Year 2014,103
Yemen,Year 2009,23
Yemen,Year 2010,112
Yemen,Year 2011,118
Yemen,Year 2012,312
Yemen,Year 2013,424
Yemen,Year 2014,760
