eventid,iyear,imonth,iday,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,location,summary,alternative,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,gname,motive,nperps,nperpcap,weaptype1,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,addnotes,dbsource
1.97008E+11,1970,8,7,0,,217,United States,1,North America,California (U.S. State),San Rafael,37.97457,-122.532474,,,,1,0,6,Hostage Taking (Kidnapping),2,Government (General),Jonathan Jackson Brigade,,,,5,Firearms,4,4,,2,2,,1,3,Minor (likely < $1 million),,PGIS
1.97003E+11,1970,3,5,0,,217,United States,1,North America,Puerto Rico (Commonwealth),San Juan,18.46617,-66.106654,,"3/5/1970: Unknown Puerto Rican Nationalists assassinated two United States Navy personal stationed in San Juan, Puerto Rico.  The incident was in response to the death of Antonia Martinez Lagaras, who was shot and killed during a confrontation between students and police in front of the R.O.T.C. building at the University of Puerto Rico, Rio Piedras a day earlier.",,1,0,1,Assassination,4,Military,Armed Commandos of Liberation,To protest United States presence in Puerto Rico and revenge the death of Antonia Martinez Lagares,-99,-99,5,Firearms,2,2,0,0,0,0,0,,,Conflicting reports attribute the incident to the Armed Commandos of Liberation and the Armed Revolutionary Independence Movement (MIRA).,Hewitt Project
1.97003E+11,1970,3,9,0,,217,United States,1,North America,Maryland (U.S. State),Bel Air,39.53894,-76.348479,Floor of car,"3/9/1970: A bomb exploded in the car of Ralph Featherstone and William Payne, members of the Student non-violent Coordinating Committee and supporters of H. Rap Brown, while they were driving in Bel Air, Maryland, United States.  Both men died as a result of the blast.  Police suspected that the bomb exploded prematurely and was intended for H. Rap Brown's trial scheduled to be held  at the Harford County Courthouse   Many members of the radical Black community believed that the bomb was set off by White Racists or the police.  The next day, a bomb was detonated at Dorchester County Courthouse, the original location of Brown's trial, by an unknown perpetrator.",,0,0,3,Bombing/Explosion,20,Unknown,Black Nationalists,The suspected motive was to disrupt the trial of H. Rap Brown,2,0,6,Explosives/Bombs/Dynamite,2,2,2,0,0,0,1,3,Minor (likely < $1 million),"This attack is linked with 197003100002.  H. Rap Brown was charged with arson and inciting a riot.  However, he never showed up for his trial and was finally apprehended in 1972.  The bombings occurred at a time of a lot of racial tension in Maryland.   Immediately after the bombing, there were numerous bomb threats to public buildings in the Baltimore and Washington DC areas.",Hewitt Project
1.97007E+11,1970,7,17,0,,217,United States,1,North America,Illinois (U.S. State),Chicago,41.88415,-87.632409,1150-1160 North Sedgwick Street,"7/17/1970: Chicago police officers Tony Rizzato and James Severin were killed by snipers while patrolling an open area at the Mother Cabrini Homes project in Chicago, Illinois, United States.  Two African Americans, Johnnie Veal and George Knights, were convicted of the murders.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To kill police,2,2,5,Firearms,2,2,0,0,0,0,1,3,Minor (likely < $1 million),This was one of many sniping attacks against police in the Mother Cabrini Homes project.  The shots were fired from the sixth floor of an apartment building.  The perpetrators shot at the police as they attempted to tend to officers Severin and Rizzato.,Hewitt Project
1.97003E+11,1970,3,20,0,,217,United States,1,North America,Michigan (U.S. State),Detroit,42.331685,-83.047924,In front of his car,"3/20/1970: Unknown perpetrators shot and killed Burton I. Gordin, the director of the Michigan Civil Rights Commission, in a downtown garage in Detroit, Michigan, United States.  Police suspected that this incident might have been politically motivated as no money was stolen from Gordin's wallet.",2,1,0,1,Assassination,14,Private Citizens & Property,White Extremists,To protest the civil rights movement,-99,-99,5,Firearms,1,1,0,0,0,0,0,,,"The police were unsure if this incident was an attempted robbery, with the perpetrators too frightened to take the targets money, or if it was an assassination.",Hewitt Project
1.97003E+11,1970,3,24,0,,160,Philippines,5,Southeast Asia,Pampanga,Angeles,15.153002,120.591942,,,1,1,0,9,Unknown,4,Military,Unknown,,,,13,Unknown,1,1,,0,0,,0,,,,PGIS
1.97004E+11,1970,4,24,0,,217,United States,1,North America,Maryland (U.S. State),Baltimore,39.290555,-76.609604,West Baltimore,"4/24/1970: Three members of the Black Panthers Party opened fire on a police vehicle parked in Baltimore, Maryland, United States.  Patrolman Donald Sager was killed and police officer Stanley Sierakowski was critically wounded but survived.  The perpetrators were under orders from the Black Panthers to kill police.",,1,0,2,Armed Assault,3,Police,Black Panthers,To kill police,3,3,5,Firearms,1,1,0,1,1,0,0,,,The killings were part of a Black Panthers initiation ritual.  All three perpetrators were convicted and received life sentences.,Hewitt Project
1.97005E+11,1970,5,9,0,,217,United States,1,North America,California (U.S. State),Sacramento,38.579065,-121.491014,Oak Park,"5/9/1970: Sacramento Police Officer Bernard Bennett was shot and killed by a sniper, suspected of being a Black Militant, as the he was patrolling the Oak Park area of Sacramento, United States, with his partner Officer Lloyd Smothers.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To punish Sacramento Police officers for their treatment of African Americans,-99,-99,5,Firearms,1,1,0,0,0,0,0,,,"The bullet struck officer Bennett in the head.  This attack occurred during heightened tensions between the police and the African American community of Sacramento California.  The police originally charged seven people, with ties to various Black National organizations including the Black Panther Party, for the attack.  However,  the suspected perpetrators were acquitted of the crime during their trial due to lack of evidence.",Hewitt Project
1.97005E+11,1970,5,15,0,,217,United States,1,North America,Washington (U.S. State),Seattle,47.60356,-122.329439,Capital Hill Area,"5/15/1970: Larry G. Ward, an African American, was shot and killed by police as he attempted to bomb the Hardcastle Realty office in Seattle, Washington, United States.  The real estate office was the target of a bombing a month earlier.",,0,0,3,Bombing/Explosion,1,Business,Black Nationalists,,1,0,6,Explosives/Bombs/Dynamite,1,1,1,0,0,0,0,,,"Police received intelligence that the realty office would be attacked and two officers were waiting at the scene.  Ward succeeded in lighting the fuse, but the bomb failed to ignite.  Hardcastle realty was previously bombed in attack 197004190002.",Hewitt Project
1.97005E+11,1970,5,22,0,,217,United States,1,North America,Minnesota (U.S. State),St. Paul,44.943829,-93.093326,859 Hague Avenue,"5/22/1970: Police Officer James Sackett is murdered by a sniper after he responded to a fake emergency call in St. Paul, Minnesota, United States.  Over thirty-five years after Sackett's death Ronald Reed and Larry Clark were convicted of the murder.  They were Black Panther wannabe's who wanted to kill a police officer.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To kill police indiscriminately,2,2,5,Firearms,1,1,0,0,0,0,0,,,"Constance Trimble, the former girlfriend of Ronald Reed, stated that she made the phony phone call to lure a St. Paul Police Officer.  Reed and Clark were both convicted of first-degree murder and conspiracy and sentenced to life in prison.",Hewitt Project
1.97006E+11,1970,6,19,0,,217,United States,1,North America,Illinois (U.S. State),Chicago,41.88415,-87.632409,74th and Union,"6/19/1970: Bruce Sharp and William Redwine, both African Americans, shot and killed Police Officer Kenneth Kaner as he was sitting in his squad car in Chicago Illinois, United States.",,1,0,2,Armed Assault,3,Police,Black Nationalists,African American opposition to the police,2,2,5,Firearms,1,1,0,0,0,0,0,,,"Bruce Sharp and William Redwine and three others driving in the same car noticed Officer Kenneth Kaner sitting in his car and someone in the group shouted ""let's get him"" and/or ""let's get his gun.""",Hewitt Project
1.97006E+11,1970,6,19,0,,217,United States,1,North America,California (U.S. State),San Francisco,37.777125,-122.419644,643 Waller Street,"6/19/1970: Police Officer Richard Radetich was shot and killed by an unknown perpetrator in San Francisco, California, United States.  While writing a ticket, a gunman pulled up to Officer Radetich in his car and shot him three times with a revolver.  The perpetrator immediately drove away.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To kill police,-99,-99,5,Firearms,1,1,0,0,0,0,0,,,"Police originally arrested Joe Allen Johnson for the murder but released him due to lack of evidence.  The Zodiac killer is also believed to claim credit for this attack, but the authorities did not believe this was credible.  In 1970, there were two other police officers murdered by suspected Black Nationalists in Northern California while they were making traffic stops (197008060004 and 197008200003).",Hewitt Project
1.97006E+11,1970,6,30,0,,217,United States,1,North America,New Jersey (U.S. State),Plainfield,40.617623,-74.417061,West End District,"6/30/1970: Two policemen, Robert M. Perry and Robert G. Beck, were shot by snipers in Plainfield, New Jersey, United States after responding to a fire at a vacant shop.  Officer Perry would eventually die from his injuries.  City officials believed that radical African Americans intentionally set the fire to lure the policemen into the area.  Firefighters fighting the blaze were also shot at.",,1,0,2,Armed Assault,3,Police,Black Nationalists,To spark community wide turmoil,-99,-99,5,Firearms,1,1,0,1,1,0,1,3,Minor (likely < $1 million),"This attack took place during heightened racial tensions in Plainfield New Jersey.  Over a year later, Police Officer Frank Buczek was killed two blocks away (197109180002).",Hewitt Project
1.97007E+11,1970,7,2,0,,217,United States,1,North America,California (U.S. State),Compton,33.895285,-118.224329,One hundred feet from police station,"7/2/1970: Tommy L. Harper, an African American, was killed when a bomb that he was carrying prematurely exploded when he was one hundred feet away from the Compton Police Station in California, United States.  It is suspected that he was attempting to bomb the police station.  Windows were shattered at a building and automobile that were in the vicinity of the explosion.",,0,0,3,Bombing/Explosion,3,Police,Black Nationalists,,1,0,6,Explosives/Bombs/Dynamite,1,1,1,0,0,0,1,3,Minor (likely < $1 million),,Hewitt Project
1.97007E+11,1970,7,11,0,,217,United States,1,North America,Massachusetts (U.S. State),New Bedford,41.637675,-70.930869,Around Kempton Street,"7/11/1970: Unknown White perpetrators fired shotgun blasts indiscriminately into a crowd of African American youths in New Bedford, Massachusetts, United States.  Lester Lima was killed and Kim Holland, Randall Robinson, and Gordon Ribiro were wounded.  This attack sparked widespread rioting by the African American community of New Bedford.",2,1,0,2,Armed Assault,14,Private Citizens & Property,White Extremists,Intimidate the African American community of New Bedford Massachusetts.,-99,-99,5,Firearms,1,1,0,3,3,0,0,,,"This attack greatly increased the racial strife of the already violent conflict between the White and Black communities of New Bedford.  The mayor of New Bedford instituted a curfew in response to the riots that spread of control as a result to this attack.  Three Whites, Ralph Brown, Gary DesLauriers, and George Rose, were arrested and charged for the crime but were eventually acquitted.",Hewitt Project
1.97007E+11,1970,7,26,0,,217,United States,1,North America,Missouri (U.S. State),St. Louis,38.62774,-90.199514,,,,1,0,1,Assassination,1,Business,Unknown,,,,6,Explosives/Bombs/Dynamite,1,1,,0,0,,0,,,,PGIS
